,Year,County,State,Zip code,latitude,longitude,Plant Hardiness Zone,Corn Acres Harvested,Sales ($),CV,State ANSI,Ag District,Ag District Code,Concatenated
41,2012,MARATHON,WISCONSIN,54401,44.96,-89.64,4b,75727.0,46318000,2.8,55,NORTH CENTRAL,20,MARATHONWISCONSIN2012
42,2012,PRICE,WISCONSIN,54459,45.44,-90.29,3b,2770.0,1814000,2.8,55,NORTH CENTRAL,20,PRICEWISCONSIN2012
43,2012,TAYLOR,WISCONSIN,54433,45.16,-90.8,4a,27051.0,18768000,2.8,55,NORTH CENTRAL,20,TAYLORWISCONSIN2012
44,2012,LANGLADE,WISCONSIN,54409,45.14,-89.15,4a,7933.0,6094000,2.8,55,NORTHEAST,30,LANGLADEWISCONSIN2012
45,2012,MARINETTE,WISCONSIN,54102,45.5,-88.0,4b,27166.0,16512000,2.8,55,NORTHEAST,30,MARINETTEWISCONSIN2012
46,2012,OCONTO,WISCONSIN,54101,44.78,-88.06,5a,46073.0,40879000,2.8,55,NORTHEAST,30,OCONTOWISCONSIN2012
47,2012,SHAWANO,WISCONSIN,54107,44.74,-88.44,4b,55460.0,43834000,2.8,55,NORTHEAST,30,SHAWANOWISCONSIN2012
48,2012,BARRON,WISCONSIN,54728,45.31,-91.65,4a,78486.0,63042000,2.8,55,NORTHWEST,10,BARRONWISCONSIN2012
49,2012,BAYFIELD,WISCONSIN,54814,46.81,-90.82,5a,1047.0,603000,2.8,55,NORTHWEST,10,BAYFIELDWISCONSIN2012
50,2012,BURNETT,WISCONSIN,54830,46.0,-92.37,3b,13578.0,8100000,2.8,55,NORTHWEST,10,BURNETTWISCONSIN2012
51,2012,CHIPPEWA,WISCONSIN,54724,45.1,-91.49,4a,91608.0,63114000,2.8,55,NORTHWEST,10,CHIPPEWAWISCONSIN2012
52,2012,DOUGLAS,WISCONSIN,54820,46.55,-91.57,4a,316.0,226000,2.8,55,NORTHWEST,10,DOUGLASWISCONSIN2012
53,2012,POLK,WISCONSIN,54001,45.3,-92.36,4a,63209.0,46281000,2.8,55,NORTHWEST,10,POLKWISCONSIN2012
54,2012,RUSK,WISCONSIN,54526,45.49,-90.89,3b,18035.0,10956000,2.8,55,NORTHWEST,10,RUSKWISCONSIN2012
55,2012,SAWYER,WISCONSIN,54828,45.79,-91.29,3b,5694.0,3553000,2.8,55,NORTHWEST,10,SAWYERWISCONSIN2012
56,2012,WASHBURN,WISCONSIN,54801,45.82,-91.89,4a,10619.0,8658000,2.8,55,NORTHWEST,10,WASHBURNWISCONSIN2012
57,2012,COLUMBIA,WISCONSIN,53555,43.31,-89.53,5a,123396.0,88010000,2.8,55,SOUTH CENTRAL,80,COLUMBIAWISCONSIN2012
58,2012,DANE,WISCONSIN,53508,42.86,-89.53,5a,160685.0,113307000,2.8,55,SOUTH CENTRAL,80,DANEWISCONSIN2012
59,2012,DODGE,WISCONSIN,53003,43.21,-88.52,5a,134893.0,106335000,2.8,55,SOUTH CENTRAL,80,DODGEWISCONSIN2012
60,2012,GREEN,WISCONSIN,53502,42.7,-89.43,5a,77474.0,41541000,2.8,55,SOUTH CENTRAL,80,GREENWISCONSIN2012
61,2012,JEFFERSON,WISCONSIN,53036,43.18,-88.58,5a,72830.0,52643000,2.8,55,SOUTH CENTRAL,80,JEFFERSONWISCONSIN2012
62,2012,ROCK,WISCONSIN,53501,42.6,-89.08,5b,149728.0,99024000,2.8,55,SOUTH CENTRAL,80,ROCKWISCONSIN2012
